slicer_profile,sparse_infill_density,first_layer_bed_temperature,bed_temperature_other_layers,first_layer_nozzle_temperature,nozzle_temperature_other_layers,filament_flow_ratio,travel_speed,retraction_length,sparse_infill_speed,sparse_infill_pattern,line_width,first_layer_height,layer_height_other_layers,difference_to,printer_name
standard,15,60,60,215,215,1.0,200,0.8,120,Grid,0.45,0.2,0.2,,Prusa MKS4
draft,15,60,60,215,215,1.0,200,0.8,95,Grid,0.45,0.2,0.2,,Prusa MKS4
lowerspeed3,100,60,60,215,215,1.0,200,0.8,120,Rectilinear,0.45,0.2,0.2,standard,Prusa MKS4
lowerspeed4,15,60,60,215,215,1.0,200,0.8,120,Grid,0.45,0.2,0.2,standard,Prusa MKS4
underextrusion4,15,60,60,215,215,0.3,80,0.8,50,Grid,0.45,0.2,0.2,standard,Prusa MKS4
underextrusion5,15,60,60,215,215,0.4,80,0.8,50,Grid,0.45,0.2,0.2,standard,Prusa MKS4
underextrusion6,15,60,60,215,215,0.4,200,0.8,95,Grid,0.45,0.3,0.3,draft,Prusa MKS4
underextrusion7,15,60,60,215,215,0.3,200,0.8,120,Grid,0.45,0.2,0.2,standard,Prusa MKS4
underextrusion8,15,60,60,215,215,0.4,200,0.8,120,Grid,0.45,0.2,0.2,standard,Prusa MKS4
underextrusion9,15,60,60,215,215,0.3,200,0.8,95,Grid,0.45,0.3,0.3,draft,Prusa MKS4
underextrusion10,15,60,60,215,215,0.6,200,0.8,120,Grid,0.45,0.2,0.2,standard,Prusa MKS4
underextrusion11,15,60,60,215,185,0.6,200,0.8,95,Grid,0.45,0.3,0.3,draft,Prusa MKS4
underextrusion12,15,60,60,215,180,0.4,200,0.8,120,Grid,0.45,0.2,0.2,standard,Prusa MKS4
underextrusion13,100,60,60,215,180,0.6,200,0.8,120,Rectilinear,0.45,0.2,0.2,standard,Prusa MKS4
underextrusion14,50,60,60,215,215,0.4,200,0.8,120,Rectilinear,0.45,0.2,0.2,standard,Prusa MKS4
underextrusion15,100,60,60,205,180,0.7,200,0.8,95,Rectilinear,0.45,0.3,0.3,draft,Prusa MKS4
underextrusion16,100,60,60,215,180,0.4,200,0.8,120,Rectilinear,0.45,0.2,0.2,standard,Prusa MKS4
stringing1,15,60,60,215,230,1.0,200,0.0,120,Grid,0.45,0.2,0.2,standard,Prusa MKS4
stringing2,15,60,60,215,230,1.0,80,0.0,50,Grid,0.45,0.2,0.2,standard,Prusa MKS4
stringing4,15,60,60,215,235,1.0,80,0.0,50,Grid,0.45,0.2,0.2,standard,Prusa MKS4
stringing5,15,60,60,215,235,1.0,100,0.0,50,Grid,0.45,0.2,0.2,standard,Prusa MKS4
stringing6,15,60,60,215,230,1.0,80,0.0,50,Grid,0.45,0.2,0.2,standard,Prusa MKS4
stringing7,15,60,60,215,235,1.0,100,0.1,50,Grid,0.45,0.2,0.2,standard,Prusa MKS4
overextrusion1,15,60,60,215,215,1.5,80,0.8,50,Grid,0.45,0.2,0.2,standard,Prusa MKS4
overextrusion2,15,60,60,215,235,1.5,80,0.8,50,Grid,0.45,0.3,0.3,draft,Prusa MKS4
overextrusion3,15,60,60,215,240,1.7,200,0.8,120,Grid,0.45,0.2,0.2,standard,Prusa MKS4
overextrusion5,15,60,60,215,215,2.0,200,0.8,120,Grid,0.45,0.2,0.2,standard,Prusa MKS4
overextrusion6,15,60,60,225,250,1.5,200,0.8,120,Grid,0.45,0.2,0.2,standard,Prusa MKS4
overextrusion7,15,60,60,220,240,1.4,200,0.8,120,Grid,0.45,0.2,0.2,standard,Prusa MKS4
overextrusion8,15,60,60,215,215,1.4,200,0.8,120,Grid,0.6,0.2,0.2,standard,Prusa MKS4
overextrusion9,15,60,60,215,215,1.3,200,0.8,120,Grid,0.6,0.2,0.2,standard,Prusa MKS4
overextrusion10,100,60,60,215,215,1.3,200,0.8,95,Rectilinear,0.45,0.3,0.3,draft,Prusa MKS4
